"Date","Time","No.","PAR","F1","F2","F3","F4","F5","F6","F7","F8","Fm.1","Fm.2","Fm.3","Fm.4","Fm.5","Fm.6","Fm.7","Fm.8","Fo.1","Fo.2","Fo.3","Fo.4","Fo.5","Fo.6","Fo.7","Fo.8","X","Param_ID","Value","Treatment","Sample_Num","Parameter_Type","F9","F10","F11","F12","F13","Fm.9","Fm.10","Fm.11","Fm.12","Fm.13","Fo.9","Fo.10","Fo.11","Fo.12","Fo.13","Scientific_Name"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"ETR5",0.1,"Dark",5,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jania rubens"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"ETR6",0.2,"Dark",6,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulva lactuca"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"ETR7",0.2,"Dark",7,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxaura rugosa"
"16.04.26","15:30:02",2,1,0.1891,0.154,0.2649,0.1574,0.0679,0.088,0.1046,0.1378,0.6129,0.4917,0.7498,0.4223,0.0992,0.2033,0.1735,0.3045,0.1779,0.143,0.2384,0.1508,0.0653,0.0802,0.1046,0.1298,NA,"ETR8",0.2,"Dark",8,"ETR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halopteris scoparia"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.1",0.619,"Dark",1,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colpomenia sinuosa"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.2",0.605,"Dark",2,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictyota dichotoma"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.3",0.509,"Dark",3,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sargassum vulgare"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.4",0.531,"Dark",4,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Padina pavonica"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.5",0.214,"Dark",5,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jania rubens"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.6",0.44,"Dark",6,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ulva lactuca"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.7",0.406,"Dark",7,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galaxaura rugosa"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.II.8",0.463,"Dark",8,"Y(II)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Halopteris scoparia"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.NPQ.1",0.085,"Dark",1,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colpomenia sinuosa"
"16.04.26","15:31:43",3,11,0.1769,0.1535,0.3368,0.1662,0.0645,0.0953,0.0943,0.1505,0.4638,0.3881,0.6852,0.3543,0.0821,0.1701,0.1588,0.2805,0.1627,0.1327,0.2314,0.1412,0.0575,0.0744,0.0991,0.1253,NA,"Y.NPQ.2",0.088,"Dark",2,"Y(NPQ)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dictyota dichotoma"
